time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:cleanerBackLog,Cleaning:fileDeletionBacklog,Cleaning:lastKnownUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nToBeCleanedLNsProcessed,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:nBinDeltaDeleteOps,Op:nBinDeltaGetOps,Op:nBinDeltaInsertOps,Op:nBinDeltaUpdateOps,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2016-05-19 14:14:05.400 UTC, ,14229,3177453,928,17384,112, ,4, ,526, , , , , , , , , ,4,4, , , ,1,2,6, ,202, , , , , , , , , , , , , , ,947,1,370,370, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1463666644903,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,109,383,81874344,-1, , , , , , ,2002, , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , ,60, ,200, , , , , , , , , ,200, , ,200, , , , , , , , , , , , , , , , , , , , , 
2016-05-19 14:15:05.402 UTC, ,15549,3178773,928,17384,112, ,4, ,728, , , , , , , , , ,4,4, , , ,1,2,6, ,302, , , , , , , , , , , , , , ,947,1,370,370, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1463666644903,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,83,340,84187328,-1, , , , , , ,2602, , , ,1, ,2, , , , , , , , , , , , , , , , , , , , , , , , ,61, ,300, , , , , , , , , ,300, , ,300, , , , , , , , , , , , , , , , , , , , , 
2016-05-19 14:16:05.403 UTC, ,15989,3179213,928,17384,112, ,4, ,324, , , , , , , , , ,4,4, , , ,1,2,6, ,102, , , , , , , , , , , , , , ,947,1,370,370, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1463666644903,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,76,233,95076512,-1, , , , , , ,1202, , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , ,59, ,100, , , , , , , , , ,100, , ,100, , , , , , , , , , , , , , , , , , , , , 
2016-05-19 14:17:05.405 UTC, ,16869,3180093,928,17384,112, ,4, ,512, , , , , , , , , ,4,4, , , ,1,2,6, ,202, , , , , , , , , , , , , , ,947,1,370,370, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1463666644903,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , ,1,62,77,391,82711880,-1, , , , , , ,2002, , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , ,53, ,200, , , , , , , , , ,200, , ,200, , , , , , , , , , , , , , , , , , , , , 
2016-05-19 14:18:05.426 UTC, ,17309,3180533,928,17384,112, ,4, ,321, , , , , , , , , ,4,4, , , ,1,2,6, ,101, , , , , , , , , , , , , , ,947,1,370,370, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1463666644903,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,80,279,66553616,-1, , , , , , ,901, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,59, ,100, , , , , , , , , ,100, , ,100, , , , , , , , , , , , , , , , , , , , , 
2016-05-19 14:19:05.428 UTC, ,18189,3181413,928,17384,112, ,4, ,526, , , , , , , , , ,4,4, , , ,1,2,6, ,202, , , , , , , , , , , , , , ,947,1,370,370, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1463666644903,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,82,327,59047440,-1, , , , , , ,1602, , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , ,60, ,200, , , , , , , , , ,200, , ,200, , , , , , , , , , , , , , , , , , , , , 
2016-05-19 14:20:05.429 UTC, ,18629,3181853,928,17384,112, ,4, ,321, , , , , , , , , ,4,4, , , ,1,2,6, ,101, , , , , , , , , , , , , , ,947,1,370,370, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1463666644903,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,75,323,76395104,-1, , , , , , ,1101, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,59, ,100, , , , , , , , , ,100, , ,100, , , , , , , , , , , , , , , , , , , , , 
2016-05-19 14:21:05.431 UTC, ,19509,3182733,928,17384,112, ,4, ,526, , , , , , , , , ,4,4, , , ,1,2,6, ,202, , , , , , , , , , , , , , ,947,1,370,370, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1463666644903,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,78,354,68501008,-1, , , , , , ,1902, , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , ,60, ,200, , , , , , , , , ,200, , ,200, , , , , , , , , , , , , , , , , , , , , 
2016-05-19 14:22:05.436 UTC, ,19949,3183173,928,17384,112, ,4, ,321, , , , , , , , , ,4,4, , , ,1,2,6, ,101, , , , , , , , , , , , , , ,947,1,370,370, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1463666644903,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,70,387,74187464,-1, , , , , , ,801, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,59, ,100, , , , , , , , , ,100, , ,100, , , , , , , , , , , , , , , , , , , , , 
2016-05-19 14:23:05.438 UTC, ,20389,3190877,928,24648,112, ,4, ,421, , , , , , , , , ,4,4, , , ,1,1,6, ,101, , , , , , , , , , , , , , ,947,1,370,370, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1463666644903,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,55,278,80025664,-1, , , , , , ,901, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,59, ,100, , , , , , , , , ,100, , ,200, , , , , , , , , , , , , , , , , , , , , 
2016-05-19 14:24:05.439 UTC, ,21269,3184493,928,17384,112, ,4, ,426, , , , , , , , , ,4,4, , , ,1,2,6, ,202, , , , , , , , , , , , , , ,947,1,370,370, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1463666644903,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , ,1,68,70,351,72912520,-1, , , , , , ,1802, , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , ,60, ,200, , , , , , , , , ,200, , ,100, , , , , , , , , , , , , , , , , , , , , 
2016-05-19 14:25:05.441 UTC, ,21709,3184933,928,17384,112, ,4, ,321, , , , , , , , , ,4,4, , , ,1,2,6, ,101, , , , , , , , , , , , , , ,947,1,370,370, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1463666644903,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,71,265,70913400,-1, , , , , , ,801, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,59, ,100, , , , , , , , , ,100, , ,100, , , , , , , , , , , , , , , , , , , , , 
2016-05-19 14:26:05.442 UTC, ,22149,3185373,928,17384,112, ,4, ,321, , , , , , , , , ,4,4, , , ,1,2,6, ,101, , , , , , , , , , , , , , ,947,1,370,370, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1463666644903,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,103,363,122755952,-1, , , , , , ,1001, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,59, ,100, , , , , , , , , ,100, , ,100, , , , , , , , , , , , , , , , , , , , , 
2016-05-19 14:27:05.444 UTC, ,22589,3185813,928,17384,112, ,4, ,321, , , , , , , , , ,4,4, , , ,1,2,6, ,101, , , , , , , , , , , , , , ,947,1,370,370, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1463666644903,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,62,318,81714240,-1, , , , , , ,801, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,59, ,100, , , , , , , , , ,100, , ,100, , , , , , , , , , , , , , , , , , , , , 
2016-05-19 14:28:05.445 UTC, ,23029,3186253,928,17384,112, ,4, ,321, , , , , , , , , ,4,4, , , ,1,2,6, ,101, , , , , , , , , , , , , , ,947,1,370,370, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1463666644903,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,58,374,123861696,-1, , , , , , ,1001, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,59, ,100, , , , , , , , , ,100, , ,100, , , , , , , , , , , , , , , , , , , , , 
2016-05-19 14:29:05.446 UTC, ,23469,3186693,928,17384,112, ,4, ,321, , , , , , , , , ,4,4, , , ,1,2,6, ,101, , , , , , , , , , , , , , ,947,1,370,370, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1463666644903,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,77,357,128093000,-1, , , , , , ,701, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,59, ,100, , , , , , , , , ,100, , ,100, , , , , , , , , , , , , , , , , , , , , 
2016-05-19 14:30:05.447 UTC, ,23909,3187133,928,17384,112, ,4, ,291, , , , , , , , , ,4,4, , , ,1,2,6, ,101, , , , , , , , , , , , , , ,947,1,370,370, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1463666644903,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,40,392,84079040,-1, , , , , , ,901, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,44, ,100, , , , , , , , , ,100, , ,100, , , , , , , , , , , , , , , , , , , , , 
2016-05-19 14:31:05.450 UTC, ,24349,3187573,928,17384,112, ,4, ,319, , , , , , , , , ,4,4, , , ,1,2,6, ,101, , , , , , , , , , , , , , ,947,1,370,370, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1463666644903,3145728, , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , ,46,308,135330696,-1, , , , , , ,701, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,58, ,100, , , , , , , , , ,100, , ,100, , , , , , , , , , , , , , , , , , , , , 
